incarnation_lineages_id (PK),BDRC R ID,TOL R ID,Incarnation Name,Tradition 1,Tradition ID 1,Tradition 2,Tradition ID 2,Wylie,Tibetan,Chinese,BDRC G ID,TOL G ID,description
64,R8LS13254,64,Tsopu Drubchen,Nyingma,1,,,mtsho phu grub chen,མཚོ་ཕུ་གྲུབ་ཆེན།,,G17,TOLG9,"<p>
	The Tsopu Drubchen incarnation line began in the eighteenth century with the <a href=""/biographies/view/First-Tsopu-Drubchen,-Choying-Rangdrol/TBRC_P6010"">First Tsopu Drubchen, Choying Rangdrol</a>, who was recognized as an incarnation of the famous Katok yogi <a href=""http://beta.treasuryoflives.org/biographies/view/Drubtob-Namkha-Gyatso/TBRC_P5973"">Drubtob Namkha Gyatso</a>. The incarnation line is likely named for Tram Tsopu, a meditation site where Choying Rangdrol is said to have practiced. The lineage is associated with <a href=""/geographies/view/Katok-monastery/TBRC_G17"">Katok monastery</a>.</p>
"
65,R8LS13059,65,Tukwan ,Geluk,27,,,thu'u bkwan,ཐུའུ་བཀྭན།,,G165,TOLG156,"<p>
	The Tukwan incarnation line is named for the clan of the First Tukwan, <a href=""/biographies/view/Lobzang-Rabten/TBRC_P3548"">Lobzang Rabten</a>, who was born into a Mongol family of Tuguan chieftains in Amdo in the seventeenth century. The Tukwan seat is at <a href=""/geographies/view/Gonlung/TBRC_G165"">Gonlung</a>, a Geluk monastery in Amdo. The Third Tukwan, <a href=""/biographies/view/Lobzang-Chokyi-Nyima/TBRC_P170"">Lobzang Chokyi Nyima</a> travelled widely between China, central Tibet and Mongolia, and his extensive writings are well known and include his monumental survey of Asian religious and thought.</p>
"
66,,66,Yolmo,Nyingma,1,,,yol mo,ཡོལ་མོ།,,,,"<p>
	The Yolmo tulku incarnation line was established in the sixteenth century when the Second Yolmo Tulku, Namkha Gyajin, was recognized as the reincarnation of Shakya Zangpo, a treasure revealer associated with the renovation of the Jarung Khashor stupa in Nepal. He was believed to have discovered the hidden land at Yolmo, thus the subsequent incarnation line was named Yolmo. The&nbsp;<a href=""/biographies/view/Third-Yolmo-Tulku,-Tendzin-Norbu/TBRC_P1690"">Third Yolmo Tulku, Tendzin Norbu</a>&nbsp;was an important figure in the Jangter, Northern Treasures, lineage of the Nyingma tradition.&nbsp;</p>
"
67,R8LS13074,67,Zamtsa Sertri,Geluk,27,,,zam tsha gser khri ,ཟམ་ཚ་གསེར་ཁྲི།,,G162,TOLG41,"<p>
	The Zamtsa Serti incarnation line was initiated when the Second Zamtsa Sertri,&nbsp;<a href=""/biographies/view/Lobzang-Jigme-Namkha/TBRC_P6899"">Lobzang Jigme Namkha</a>&nbsp;was identified as the reincarnation of Fifty-fifth Ganden Tripa, Trichen&nbsp;<a href=""/biographies/view/Ngawang-Namkha-Zangpo/TBRC_P2761"">Ngawang Namkha Zangpo</a>&nbsp;in the eighteenth century. The seat of this tulku line is at&nbsp;<a href=""/geographies/view/Labrang-Tashikyil/TBRC_G162"">Labrang Tashikyil</a>, an important Geluk monastery in Amdo.</p>
"
68,R8LS13079,68,Zhabdrung Karpo,Geluk,27,,,zhabs drung dkar po,ཞབས་དྲུང་དཀར་པོ།,,G448,TOL1180,"<p>
	The Zhabdrung Karpo incarnation line, one of the most important incarnation lines in Amdo, was named for&nbsp;<a href=""/biographies/view/Tsoknyi-Gyatso/TBRC_P4251"">Tsoknyi Gyatso</a>, the <a href=""/biographies/view/Third-Dalai-Lama’s-/TBRC_P999"">Third Dalai Lama&rsquo;s </a>emissary to Mongol royal families. The line was established in the early seventeenth century when Lodro Gyatso was recognized by the&nbsp;<a href=""/biographies/view/Fourth-Panchen-Lama,-Lobzang-Chokyi-Gyeltsen/TBRC_P719"">Fourth Panchen Lama, Lobzang Chokyi Gyeltsen</a>, as the Second Zhabdrung Karpo. He founded&nbsp;<a href=""/geographies/view/Magur-Namgyel-Ling/TBRC_G1KR2451"">Magur Namgyel Ling</a>, a Geluk monastery, which became the seat of the incarnation line.</p>
<div>
	&nbsp;</div>
"
69,R8LS13407,69,Zhabdrung Sungtrul,Drukpa Kagyu,40,,,zhabs drung gsung sprul,ཞབས་དྲུང་གསུང་སྤྲུལ།,,G55,TOLG418,"<p>
	The Zhabdrung Sungtrul incarnation line represents the speech incarnation of <a href=""http://beta.treasuryoflives.org/biographies/view/Zhabdrung-Ngawang-Namgyel/TBRC_P509"">Zhabdrung Ngawang Namgyel</a>, the seventeenth century Tibetan-born Drukpa Kagyu leader who was recognized as an incarnation of Pema Karpo. When the Tsang Desi challenged the recognition, Ngawang Namgyel fled to Bhutan. The Zhabdrung Sungtrul line, one of several incarnation lines of the Zhabdrung, was established in the eighteenth century. The <a href=""/biographies/view/Second-Zhabdrung-Sungtrul,-Shakya-Tendzin/TBRC_P536"">Second Zhabdrung Sungtrul, Shakya Tendzin</a> founded <a href=""/geographies/view/Sang-Chokhor-Monastery/TBRC_G55"">Sang Chokhor Monastery</a>, which became a seat of the line, in Paro.</p>
"
70,R8LS13180,70,Shechen Rabjam,Nyingma,1,,,zhe chen rab 'byams,ཞེ་ཆེན་རབ་འབྱམས།,,G20,TOLG13,"<p>
	The Shechen Rabjam incarnation line was established in the eighteenth century when the Second Shechen Rabjam, <a href=""/biographies/view/Gyurme-Kunzang-Namgyel/TBRC_P690"">Gyurme Kunzang Namgyel</a> was recognized as the reincarnation of <a href=""/biographies/view/Tenpai-Gyeltsen/TBRC_P661"">Tenpai Gyeltsen</a>, who founded a small monastery called Shechen Orgyen Chodzon. The Second Shechen Rabjam relocated and expanded the monastery to form <a href=""/geographies/view/Zhechen-Tennyi-Dargyeling/TBRC_G20"">Shechen Tennyi Dargyeling</a>.</p>
"
71,R8LS12813,71,Zhiwa lha,Geluk,27,,,zhi ba lha,ཞི་བ་ལྷ།,,G180,TOLG237,"<p>
	The line originated when the <a href=""/biographies/view/Second-Pakpa-Lha,-Pakpa-Sanggye/TBRC_P395"">Second Pakpa Lha, Pakpa Sanggye</a> identified <a href=""/biographies/view/Sanggye-Jungne/TBRC_P2119"">Sanggye Jungne</a> as the reincarnation of his master, <a href=""http://beta.treasuryoflives.org/biographies/view/Pelden-Chokdrub/TBRC_P2118"">Pelden Chokdrub</a>, who he posthumously recognized as a reincarnation of the Indian Pandita Śāntideva, author of the <em>Bodhisattvacaryāvatāra</em>. The seat of the Zhiwa Lha is <a href=""/geographies/view/Chamdo-Jampa-Ling/TBRC_G180"">Chamdo Jampa Ling</a>, a Geluk monastery, which is also the seat of the <a href=""/incarnation/view/Pakpa-Lha/TBRC_R8LS12860"">Pakpa Lha</a> line.</p>
"
72,R8LS13049,72,Zhamarpa,Karma Kagyu,24,,,zhwa dmar pa,ཞྭ་དམར་པ།,,G198,TOLG599,"<p>
	The Zhamarpas, the &lsquo;red hat&rsquo; lamas, are one of the main reincarnate lines of the Karma Kagyu order and the second oldest tulku line of Tibetan buddhism. The First Zhamarpa, <a href=""/biographies/view/Drakpa-Sengge/TBRC_P70"">Drakpa Sengge</a> was a close disciple of the <a href=""/biographies/view/Third-Karmapa,-Rangjung-Dorje/TBRC_P66"">Third Karmapa, Rangjung Dorje</a>, who gave him a red version of his own famous black hat. When the <a href=""/biographies/view/10th-Zhamarpa/TBRC_P831"">Tenth Zhamarpa</a> was found guilty of plotting with the Gorkha army that invaded Tibet and sacked <a href=""/geographies/view/Tashilhunpo-Monastery/TBRC_G104"">Tashilhunpo Monastery</a> in 1791, the government confiscated the seat at <a href=""/geographies/view/Yangpachen/TBRC_G198"">Yangpachen</a> and turned it into a Geluk monastery and banned further Zhamar incarnations. In 1963, at the request of the <a href=""/biographies/view/Sixteenth-Karmapa/TBRC_P865"">Sixteenth Karmapa</a>, the Central Tibetan Administration lifted the ban.</p>
"
73,R11MS247,73,Simda Dzogchen,Nyingma,1,,,srib mda' rdzogs chen sprul sku skye brgyud/,སྲིབ་མདའ་རྫོགས་ཆེན།,,G4687,TOLG700,"<p>
	The Simda Dzogchen incarnation line is a Nyingma line with its seat at&nbsp;<a href=""/geographies/view/Simda-Dzogchen/TBRC_G4687"">Simda Dzogchen</a>&nbsp;monastery in the Markham region. The line was established in the early half of the eighteenth century when&nbsp;<a href=""/biographies/view/Kunzang-Pema-Wanggyel/TBRC_P2JM431"">Kunzang Pema Wanggyel</a>&nbsp;was identified as the reincarnation of the Dzogchen master&nbsp;<a href=""/biographies/view/Orgyen-Samten/TBRC_P2JM424"">Orgyen Samten</a>&nbsp;who was posthumously recognized as the First Simda Dzogchen. It was Orgyen Samten who established Simda Dzogchen Monastery, the seat of the incarnation, in 1678.</p>
"
74,R8LS13050,74,Tai Situ,Karma Kagyu,24,,,ta'i si tu,ཏའི་སི་ཏུ།,,G36; G35,"TOL472, TOL215","<p>
	The Tai Situ incarnations began when the <a href=""/biographies/view/Sixth-Karmapa/TBRC_P1006"">Sixth Karmapa</a> recognized <a href=""/biographies/view/Tashi-Namgyel/TBRC_P820"">Tashi Namgyel</a> as the reincarnation of his teacher <a href=""http://beta.treasuryoflives.org/biographies/view/Chokyi-Gyeltsen/TBRC_P3572"">Chokyi Gyeltsen</a>, a lama of&nbsp;<a href=""/geographies/view/Karma-Gon/TBRC_G35"">Karma Gon</a> Monastery in Kham who had received the Chinese imperial title from a Ming envoy. In the eighteenth century the <a href=""/biographies/view/Eighth-Tai-Situ,-Chokyi-Jungne/TBRC_P956"">Eighth Tai Situ, Chokyi Jungne</a>, moved the seat of the line to <a href=""/geographies/view/Pelpung-Monastery-/TBRC_G36"">Pelpung Monastery </a>near Derge.</p>
"
75,,75,Mindrol Nominhan,Geluk,27,,,smin grol no mon han,སྨིན་གྲོལ་ནོ་མོན་ཧན།,,G294,TOLG532,"<p>
	The Mindrol Nominan incarnation line, also known as the Tseten Nominhan, was based at <a href=""/geographies/view/Tsenpo-Monastery/TBRC_G294"">Tsenpo Monastery</a> in Amdo, which is also known as Serkhok. The line began when <a href=""/biographies/view/Lobzang-Tendzin-Gyatso/TBRC_P7051"">Lobzang Tendzin Gyatso</a> was identified as the reincarnation of a lama of Tsenpo named <a href=""/biographies/view/Tsenpo-Nominhan-Ngawang-Trinle-Lhundrub/TBRC_P1731"">Tsenpo Nominhan Ngawang Trinle Lhundrub</a>. The identity of the third incarnation is not known, but the Fourth was named <a href=""/biographies/view/Jampel-Chokyi-Tendzin/TBRC_P4994"">Jampel Chokyi Tendzin</a>, and the Fifth was named <a href=""/biographies/view/Kelzang-Tubten-Trinle-Gyatso/TBRC_P9214"">Kelzang Tubten Trinle Gyatso</a>.</p>
"
76,R8LS13154,76,Dzongkar Chungwa,Geluk,27,,,rdzong dkar chung ba,རྫོང་དཀར་ཆུང་བ།,,G224,TOL497,"<p>
	The Dzongkar Chungwa are a Geluk incarnation line with a seat at <a href=""/geographies/view/Dzongkar-Kadam-Podrang-Tashi-Ling/TBRC_G224"">Dzongkar Kadam Podrang Tashi Ling</a> Monastery in Dzongkar, Amdo. This line is not to be confused with the <a href=""/incarnation/view/Dzongkar/TBRC_R8LS13153"">Dzongkar</a> incarnation line which is also based at Dzongkar Monastery. The Dzongkar Chungwas also have a seat at <a href=""/geographies/view/Rongwo-Monastery/TBRC_G163"">Rongwo Monastery</a> in Rebkong.</p>
"
77,R8LS13051,77,Jamgon Kongtrul,Karma Kagyu,24,,,jam mgon kong sprul,འཇམ་མགོན་ཀོང་སྤྲུལ།,,G36,TOLG472,"<p>
	The Jamgon Kongtrul incarnation line began with the reincarnation of&nbsp;<a href=""/biographies/view/Jamgon-Kongtrul-Lodro-Taye/TBRC_P264"">Jamgon Kongtrul Lodro Taye</a>, a master of <a href=""/geographies/view/Pelpung-Monastery/TBRC_G36"">Pelpung Monastery</a> who was one of the most influential Tibetans of the nineteenth century. Multiple other incarnations of Lodro Taye were identified, including the <a href=""/incarnation/view/Dzogchen-Kongtrul/TBRC_R8LS13177"">Dzogchen Kongtrul</a>&nbsp;line based at <a href=""/geographies/view/Dzogchen&nbsp;Monastery/TBRC_G16"">Dzogchen&nbsp;Monastery</a>, the <a href=""/incarnation/view/Zhechen-Kongtrul/TBRC_84"">Zhechen Kongtrul</a> based at <a href=""/geographies/view/Zhechen-Monastery/TBRC_G20"">Zhechen Monastery</a>,&nbsp;<a href=""/biographies/view/Dzigar-Kongtrul/TBRC_P1PD108567"">Dzigar Kongtrul</a>, based at <a href=""/geographies/view/Tsokha-Monastery/TBRC_G2CN11081"">Tsokha Monastery</a>,&nbsp;and <a href=""/biographies/view/Kalu-Rinpoche/TBRC_P938"">Kalu Rinpoche</a>, based at <a href=""/geographies/view/Tsandra-Rinchen-Drak/TBRC_g37"">Ts<span style=""font-size:12px;""><span style=""font-family: arial,helvetica,sans-serif;""><span id=""docs-internal-guid-4fe07377-c061-1cec-cee2-067fbac5e9ce"" style=""color: rgb(0, 0, 0); background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline;"">ā</span></span></span>dra Rinchen Drak</a>.</p>
"
79,R8LS13166,79,Penor,Nyingma,1,,,pad nor,པད་ནོར།,,G18,TOLG14,"<p>
	The Penor incarnation line of <a href=""/geographies/view/Pelyul-Monastery/TBRC_G18"">Pelyul Monastery</a> began with the recognition of the <a href=""/biographies/view/Second-Penor,-Chokyi-Langpo/TBRC_P7359"">Second Penor, Chokyi Langpo</a>, as the reincarnation of the Third Throne Holder of the monastery, <a href=""/biographies/view/Pema-Norbu/TBRC_P5083"">Pema Norbu</a>. The <a href=""/biographies/view/Third-Penor-Rinpoche,-Lekshe-Chokyi-Drayang/TBRC_P6387"">Third Penor Rinpoche, Lekshe Chokyi Drayang</a>, built <a href=""/geographies/view/Namdroling-Monastery/TBRC_G4886"">Namdroling Monastery</a> in southern India.</p>
"
80,R8LS13055,80,Zurmang Trungpa,Karma Kagyu,24,,,zur mang drung pa,ཟུར་མང་དྲུང་པ།,,G326,TOLG174,"<p>
	The Zurmang Trungpa is one of several incarnation lineages based at <a href=""/geographies/view/Zurmang-Dutsitil-Monastery/TBRC_g326"">Zurmang Dutsitil Monastery</a> in Kham. The <a href=""/biographies/view/Eleventh-Trungpa,-Chokyi-Gyatso/TBRC_P851"">Eleventh Trungpa, Chokyi Gyatso</a>, was one of the leading proponents of Tibetan Buddhism in Europe and America.</p>
"
81,R8LS16682,81,Pakchok,Taklung Kagyu,45,Nyingma,1,phags mchog,འཕགས་མཆོག།,,G70,TOL218,"<p>
	The Pakchok incarnations were based at <a href=""/geographies/view/Riwoche-Monastery/TBRC_G70"">Riwoche Monastery</a> in Kham. Very little is known about the lives of the various incarnations.</p>
"
82,R8LS16683,82,Karma Kuchen,Nyingma,1,,,karma sku chen,ཀརྨ་སྐུ་ཆེན།,,G18,TOLG14,"<p>
	The Karma Kuchen incarnation line is based at <a href=""/geographies/view/Pelyul-Monastery/TBRC_g18"">Pelyul Monastery</a> and <a href=""/geographies/view/Dartang/TBRC_g523"">Dartang</a>, which the <a href=""/biographies/view/Second-Karma-Kuchen/TBRC_p6310"">Second Karma Kuchen</a> established.</p>
"
83,,83,Dzigar Kongtrul,Karma Kagyu,24,,,dzi sgar kong sprul,ཛི་སྒར་ཀོང་སྤྲུལ།,,G185,TOLG1114,"<p>
	The Dzigar Kongtrul line, incarnations of <a href=""/biographies/view/Jamgon-Kongtrul-Lodro-Taye/TBRC_P264"">Jamgon Kongtrul Lodro Taye</a> based at <a href=""/geographies/view/Dzigar-Chogar-Monastery/TBRC_G185"">Dzigar Chogar Monastery</a>, began with the recognition of <a href=""/biographies/view/Lodro-Rabpel/TBRC_P1PD108567"">Lodro Rabpel</a>, who was born around the year 1901.</p>
"
84,,84,Shechen Kongtrul,Nyingma,1,,,zhe chen kong sprul,ཞེ་ཆེན་ཀོང་སྤྲུལ།,,G20,TOLG13,"<p>
	The Shechen Kongtrul incarnation line was based at Shechen Monastery, and began when <a href=""/biographies/view/Pema-Drime-Lekpai-Lodro/TBRC_P744"">Pema Drime Lekpai Lodro</a> was recognized as the reincarnation of <a href=""/biographies/view/Jamgon-Kongtrul/TBRC_p264"">Jamgon Kongtrul</a>.</p>
"
85,,85,Kalu Rinpoche,Shangpa Kagyu,67,,,kar lu rin po che,ཀར་ལུ་རིན་པོ་ཆེ།,,G36,TOL472,"<p>
	The Kalu Rinpoche incarnation line began when the <a href=""/biographies/view/First-Kalu-Rinpoche,-Karma-Rangjung-Kunkhyab/TBRC_P938"">First Kalu Rinpoche, Karma Rangjung Kunkhyab</a>, was identified as the reincarnation of <a href=""/biographies/view/Jamgon-Kongtrul/TBRC_p264"">Jamgon Kongtrul</a>. His seat was <a href=""/geographies/view/Tsadra-Rinchen-Drak/TBRC_G37"">Tsadra Rinchen Drak</a>, Jamgon Kongtrul&#39;s hermitage and three-year retreat center. The current <a href=""/biographies/view/Kalu-Yangsi/TBRC_P5610"">Kalu Yangsi</a> was born in 1990.</p>
"
86,R8LS13054,86,Dzongsar Khyentse,Sakya,7,,,rdzong sar mkhyen brtse,རྫོགས་ཆེན་མཁྱེན་བརྩེ།,,G213,TOL180,"<p>
	The Dzongsar Khyentse incarnation line is the primary incarnation line that originated with <a href=""/biographies/view/Jamyang-Khyentse-Wangpo/TBRC_P258"">Jamyang Khyentse Wangpo</a>. It is based at <a href=""/geographies/view/Dzogsar-Monastery/TBRC_G213"">Dzongsar Monastery</a> in Kham.</p>
"
87,,87,Beru Khyentse,Karma Kagyu,24,,,be ru mkhyen brtse,བེ་རུ་མཁྱེན་བརྩེ།,,G36,,"<p>
	The Beru Khyentse incarnation line, based at <a href=""/geographies/view/Pelpung-Monasery/TBRC_G36"">Pelpung Monasery</a>, began with the recognition of <a href=""/biographies/view/Karma-Jamyang-Khyentse-Ozer/TBRC_P931"">Karma Jamyang Khyentse Wozer</a> as one of several reincarnations of <a href=""/biographies/view/Jamyang-Khyentse-Wangpo/TBRC_p258"">Jamyang Khyentse Wangpo</a>.</p>
"
88,R8LS12785,88,Pelri,Nyingma,1,,,dpal ri,དཔལ་རི།,,G665,TOL253,"<p>
	The Pelri incarnation line has its seat in Chonggye in Utsang, at <a href=""/geographies/view/Pelri-Tekchen-Ling/TBRC_g665"">Pelri Tekchen Ling</a>, a Nyingma monastery that was initially established in the fifteenth century by a local lord named Sonam Tobgyel.&nbsp;</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
"
89,R8LS13416,89,Seula Jamgon,Drukpa Kagyu,40,,,se'u la byams mgon,སེའུ་ལ་བྱམས་མགོན།,,G56,TOLG1072,"<p>
	The Seula Jamgon Tulku line, one of the most significant lineages of Bhutan, is based at <a href=""/geographies/view/Seula-Chokhor-Dorjeden/TBRC_G56"">Seula Chokhor Dorjeden</a>, a Drukpa Kagyu monastery in Bhutan. The <a href=""/biographies/view/First-Seula-Tulku,-Jamgon-Ngawang-Gyeltsen/TBRC_P529"">First Seula Tulku, Jamgon Ngawang Gyeltsen</a>, was an important religious and politcal figure in 17th-18th century Bhutan.&nbsp;</p>
"
90,R8LS13170 ,90,Khangnang,Nyingma,1,,,khang nang,ཁང་ནང་།,,g18,TOLG14,"<p>
	The Khangnang lamas are based at <a href=""/geographies/view/Pelyul-Monastery/TBRC_g18"">Pelyul Monastery</a>. The line originated with <a href=""/biographies/view/Tashi-Puntsok/TBRC_p8552"">Tashi Puntsok</a>, who lived in the nineteenth century.</p>
"
91,R8LS13167,91,Dzongnang Jewon,Nyingma,1,,,rdzong nang rje dbon,རྫོང་ནང་རྗེ་དབོན།,,G18,TOLG14,"<p>
	The Dzongnang Jewon incarnations are based at <a href=""/geographies/view/Pelyul-Monastery/TBRC_g18"">Pelyul Monastery</a>. The line originated with <a href=""/biographies/view/Kunzang-Gyurme/TBRC_P8554"">Kunzang Gyurme</a> in the nineteenth century.</p>
"
92,R8LS13294,92,Pelyul Choktrul,Nyingma,1,,,dpal yul mchog sprul,དཔལ་ཡུལ་མཆོག་སྤྲུལ།,,G18,TOLG14,"<p>
	The Pelyul Choktrul incarnation line, also known as the Dzigar Choktrul and the Dzongnang Lama, are based at the Nyingma monasteries of <a href=""/geographies/view/Pelyul/TBRC_g18"">Pelyul</a> and <a href=""/geographies/view/Dartang/TBRC_g523"">Dartang</a>.</p>
"
93,R1AG93,93,Peling Sungtrul,Nyingma,1,,,pad gling gsung sprul,པད་གླིང་གསུང་སྤྲུལ།,,,,"<p>
	The Peling Sungtrul incarnation line, one of three lines stemming from <a href=""/biographies/view/Pema-Lingpa/TBRC_p1693"">Pema Lingpa</a>, began with the Second Pelung Sungtrul, <a href=""https://www.treasuryoflives.org/biographies/view/-Yenpa-Lode/P2654"">Yenpa Lode</a>.</p>
"
94,R8LS13273,94,Garchen,Drigung Kagyu,42,,,mgar chen,མགར་ཆེན།,,G1KR2696,TOL1605,"<p>
	The Garchen incarnation line is based at <a href=""/geographies/view/Gar-Gon-Jangchub-Choling-Monastery/TBRC_G2611"">Gar Gon Jangchub Choling Monastery</a> in Nangchen. There is some confusion about the origin of the line. It either began in the thirteenth century when the <a href=""/biographies/view/First-Garchen,-Ngawang-Dondrub/TBRC_P8575"">First Garchen, Ngawang Dondrub</a>, was identified as the reincarnation of the twelfth century Drigung master <a href=""/biographies/view/Gar-Dampa-Shakya-Pel/TBRC_P813"">Gar Dampa Shakya Pel</a>, or these two men were in fact the same, and Gar Dampa is the First Garchen.</p>
"
95,R8LS18184,95,Neten Chokling,Nyingma,1,,,gnas brtan mchog gling,གནས་བརྟན་མཆོག་གླིང་།,,G1AG98,TOLG59,"<p>
	The Neten Chokling incarnation line began with the recognition of <a href=""/biographies/view/Ngedon-Drubpai-Dorje/TBRC_P1AG97"">Ngedon Drubpai Dorje</a> as the reincarnation of <a href=""/biographies/view/Chokgyur-Lingpa/TBRC_P564"">Chokgyur Lingpa</a>. They are based at <a href=""/geographies/view/Neten-Monastery/TBRC_G1AG98"">Neten Monastery</a>. Another line of incarnations is the <a href=""/incarnation/view/Tsike/TBRC_R8LS18185"">Tsike</a>, or Kela line.</p>
"
96,R8LS18185,96,Tsike Chokling,Nyingma,1,,,rtsi ke mchog gling,རྩི་ཀེ་མཆོག་གླིང་།,,G3JT12623,TOL60,"<p>
	The Tsike, or Kela Chokling line of incarnations began with the recognition of <a href=""/biographies/view/Konchok-Gyurme/TBRC_P8050"">Konchok Gyurme</a> as one of two incarnations of <a href=""/biographies/view/Chokgyur-Lingpa/TBRC_P564"">Chokgyur Lingpa</a>. The line is based at <a href=""/geographies/view/Tsike-Monastery/TBRC_G3JT12623"">Tsike Monastery</a>. The other incarnation line is the <a href=""/incarnation/view/Neten-Chokling/TBRC_R8LS18184"">Neten Chokling</a>.</p>
"
97,R8LS13184,97,Shechen Gyeltsab,Nyingma,1,,,zhe chen rgyal tshab,ཞེ་ཆེན་རྒྱལ་ཚབ།,,G20,TOLG13,"<p>
	The Gyeltsab incarnations of <a href=""/geographies/view/Zhechen-Monastery/TBRC_g20"">Shechen Monastery</a> began in the eighteenth century with the recognition of the <a href=""/biographies/view/Second-Gyeltsab,-Pema-Sangngak-Tendzin/TBRC_P8LS13182"">Second Gyeltsab, Pema Sangngak Tendzin</a>. The line ended with death of the <a href=""/biographies/view/Fifth,-Gyurme-Pema-Dorje/TBRC_P8LS13183"">Fifth, Gyurme Pema Dorje</a>, who died in 1959.</p>
"
98,R8LS13030,98,Nyetang Mokchok,Shangpa Kagyu,67,,,mnyes thang smog lcog ,མཉེས་ཐང་སྨོག་ལྕོག།,,G2437,TOL1317,"<p>
	The Nyetang Mokchok tulku line begins with Khyungpo Neljor, the First Nyetang Mokchok, who lived in the eleventh century and founded the Shangpa Kagyu tradition and established <a href=""/geographies/view/Zhangzhong-Dorjeden-Monastery/TBRC_G4783 "">Zhangzhong Dorjeden Monastery</a> in the Shang valley in Tsang.&nbsp;</p>
"
99,,99,Chamtrul,Nyingma,1,,,lcam sprul,ལྕམ་སྤྲུལ།,,G17,TOLG9,"<p>
	A Nyingma incarnation line affiliated with <a href=""/geographies/view/Katok-Monastery/TBRC_G17"">Katok Monastery</a> in Kham. Although Katok Chamtruk Kunzik&nbsp;<a href=""/biographies/view/Jigme-Dorje/TBRC_P6026"">Jigme Dorje</a> was identified in his time as an incarnation in the Chamtrul line, it now appears that he&#39;s considered to be the First Chamtrul, followed by the Second Chamtrul Pema Nangsel Dorje and the present Third Chamtrul Lobsang Gyatso.&nbsp;</p>
<p>
	&nbsp;</p>
"
100,R8LS12778,100,Demo,Geluk,27,,,de mo,དེ་མོ།,,G303,TOLG723,"<p>
	The Demo incarnation was initially associated with <a href=""/geographies/view/Demo-Monastery/TBRC_G1438"">Demo Monastery</a>&nbsp;in Kongpo. <a href=""/geographies/view/Tengyeling/TBRC_G303"">Tengyeling</a>&nbsp;was founded by the Sixth Demo in the early 1760&#39;s became the seat of the lineage; the&nbsp;<a href=""/geographies/view/Demo-Labrang/TBRC_2784"">Demo Labrang</a>, built in the early 20th century,&nbsp;was the residence. The Demo Tulkus were among several other incarnations empowered as Regents to rule when a Dalai Lama was not of ruling age. This practice was ended during the reign of the <a href=""/biographies/view/Thirteenth-Dalai-Lama/TBRC_P197"">Thirteenth Dalai Lama</a>, who had the Ninth Demo, <a href=""/biographies/view/Ngawang-Lobzang-Trinle-Rabgye/TBRC_P1814"">Ngawang Lobzang Trinle Rabgye</a>, arrested for attempting to kill the Dalai Lama using cursed boots. The Eleventh Demo lives in exile and as of 2018 was pursuing graduate studies in North America.&nbsp;</p>
"
101,R8LS12886,101,Drigung Chetsang,Drigung Kagyu,42,,,bri gung che tshang,འབྲི་གུང་ཆེ་ཚང་།,,G340,TOLG82,"<p>
	The Drigung Chetsang line is one of two main tulku lines of <a href=""/geographies/view/Drigung-Monastery/TBRC_G340"">Drigung Monastery</a>, the other being the <a href=""/incarnation/view/Drigung-Chungstang/TBRC_R8LS12892"">Drigung Chungstang</a>. The First Drigung Chetsang was <a href=""/biographies/view/Konchok-Rinchen/TBRC_P4578"">Konchok Rinchen</a> (1590-1654) and his younger brother, <a href=""/biographies/view/Chokyi-Drakpa/TBRC_P2666"">Chokyi Drakpa</a>, was the First Drigung Chungstang.</p>
"
102,R8LS12892,102,Drigung Chungstang,Drigung Kagyu,42,,,bri gung chung tshang,འབྲི་གུང་ཆུང་ཚང་།,,G340,TOLG82,"<p>
	The Drigung Chungstang line is one of two main tulku lines of&nbsp;<a href=""/geographies/view/Drigung-Monastery/TBRC_G340"">Drigung Monastery</a>, the other being the&nbsp;<a href=""/incarnation/view/Drigung-Chetsang/TBRC_R8LS12886"">Drigung Chetsang</a>.&nbsp;<a href=""/biographies/view/Chokyi-Drakpa/TBRC_P2666"">Chokyi Drakpa</a>&nbsp;was the First Drigung Chungstang and the First Drigung Chetsang was&nbsp;<a href=""/biographies/view/Konchok-Rinchen/TBRC_P4578"">Konchok Rinchen</a>&nbsp;(1590-1654), his older brother.</p>
"
103,R8LS13062,103,Gungri Khandro,Geluk,27,,,gung ri mkha' 'gro,གུང་རི་མཁའ་འགྲོ།,,G4646,TOLG465,"<p>
	The Gungri Khandro is a female Geluk tulku line based at <a href=""/geographies/view/Gangya-Drakkar-Gon/TBRC_G4646"">Gangya Drakkar Gon</a> in Amdo.&nbsp;</p>
"
104,R8LS13153,104,Dzongkar,Geluk,27,,,rdzong dkar,རྫོང་དཀར།,,G224,TOLG497,"<p>
	The Dzonkar incarnation has its seat at <a href=""/geographies/view/Dzongkar-Monastery/TBRC_G224"">Dzongkar Monastery</a> in Amdo. The First Dzongkar was <a href=""/biographies/view/Sherab-Tashi/TBRC_P422"">Sherab Tashi</a>, who founded in the monastery in 1683. He was also known as the First Maṇipa, a title which is also held by subsequent Dzongkar Tulkus.&nbsp;</p>
"
